path,filename,folder,format,size_mb,duration_sec,samplerate,channels,peak,rms_db,spectral_centroid_hz,attack_ms,decay_sec,is_oneshot,crest_factor,low_energy_ratio,high_energy_ratio,bwf_description,bwf_originator,ixml_description
344 Audio - Antique Telephone/COMTelph_Antique Telephone Rotary Dial Number  9_344 Audio_Antiques - Telephone.wav,COMTelph_Antique Telephone Rotary Dial Number  9_344 Audio_Antiques - Telephone,344 Audio - Antique Telephone,wav,1.353,2.447,96000,2,0.1528,-35.05,2367.1,2005.0,0.43,False,8.64,0.0903,0.1521,"Telephone, Bell's Telephone, Phone, Phonecall, Analogue, Rotary, Rotary Phone, Rotary Telephone, Analogue Telephone, Analogue Phone, Dialling, Rotary Dials, Vintage, Old",344 Audio,
"344 Audio - Antique Typewriter/COMType_Typewriter Carriage Movement, Typewriter_344 Audio_Antiques - Typewriter_01.wav","COMType_Typewriter Carriage Movement, Typewriter_344 Audio_Antiques - Typewriter_01",344 Audio - Antique Typewriter,wav,2.316,4.189,96000,2,0.7071,-33.59,2445.7,2540.0,1.345,False,33.8,0.4776,0.2601,"Antique, Mechanical, Mechanical Keyboard, Mechanical Typewriter, Typewriter, Typing, Typist, Click, Switch, Keys, Keyboard, Old, Vintage, Computer, Antiquity, Relic, Victorian, Industrial, Typing Machine, Typer",344 Audio,
"344 Audio - Antique Typewriter/COMType_Typewriter Paper Movements, Typewriter 04_344 Audio_Antiques - Typewriter.wav","COMType_Typewriter Paper Movements, Typewriter 04_344 Audio_Antiques - Typewriter",344 Audio - Antique Typewriter,wav,1.958,3.541,96000,2,0.0546,-50.96,1839.3,1920.0,1.61,False,19.29,0.4661,0.1052,"Antique, Mechanical, Mechanical Keyboard, Mechanical Typewriter, Typewriter, Typing, Typist, Click, Switch, Keys, Keyboard, Old, Vintage, Computer, Antiquity, Relic, Victorian, Industrial, Typing Machine, Typer, Paper, Paper Movement, Parchment, Script",344 Audio,
"344 Audio - Antique Typewriter/COMType_Typewriter Space Key, Typewriter 05_344 Audio_Antiques - Typewriter.wav","COMType_Typewriter Space Key, Typewriter 05_344 Audio_Antiques - Typewriter",344 Audio - Antique Typewriter,wav,0.299,0.538,96000,2,0.6046,-33.16,1756.0,135.0,0.29,True,27.5,0.7063,0.1165,"Antique, Mechanical, Mechanical Keyboard, Mechanical Typewriter, Typewriter, Typing, Typist, Click, Switch, Keys, Keyboard, Old, Vintage, Computer, Antiquity, Relic, Victorian, Industrial, Typing Machine, Typer",344 Audio,
"344 Audio - Barbershop Vol. 1/OBJFurn_Barber Chair, Foot Pump 4_344 Audio_Barbershop Vol 1.wav","OBJFurn_Barber Chair, Foot Pump 4_344 Audio_Barbershop Vol 1",344 Audio - Barbershop Vol. 1,wav,4.044,7.32,96000,2,0.0667,-47.15,98.5,6605.0,0.61,False,15.21,0.9278,0.0011,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming, Chair, Leather, Cushion, Metal, Foot Rest, Sit, Stand, Pump, Foley, Movement",344 Audio,
"344 Audio - Barbershop Vol. 1/OBJMisc_Hair Dryer, On, Idle, Off 4_344 Audio_Barbershop Vol 1.wav","OBJMisc_Hair Dryer, On, Idle, Off 4_344 Audio_Barbershop Vol 1",344 Audio - Barbershop Vol. 1,wav,6.806,12.32,96000,2,0.0615,-38.46,1265.6,6015.0,6.29,False,5.15,0.0929,0.0393,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming, Hair Dryer, Blow Dry, Air, Hot, Switch, Button, On, Idle, Off, Movement",344 Audio,
"344 Audio - Barbershop Vol. 1/OBJMisc_Spray Bottle, Spray 1_344 Audio_Barbershop Vol 1.wav","OBJMisc_Spray Bottle, Spray 1_344 Audio_Barbershop Vol 1",344 Audio - Barbershop Vol. 1,wav,0.289,0.52,96000,2,0.0399,-45.67,5946.7,205.0,0.31,True,7.66,0.0181,0.3961,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming, Water, Spray, Bottle, Air, Plastic, Handling, Pick Up, Put Down",344 Audio,
"344 Audio - Barbershop Vol. 2/OBJMisc_Hair Brush, Plastic Bristles, Brushing Hair_344 Audio_Barbershop Vol 2.wav","OBJMisc_Hair Brush, Plastic Bristles, Brushing Hair_344 Audio_Barbershop Vol 2",344 Audio - Barbershop Vol. 2,wav,3.316,6.0,96000,2,0.0137,-67.0,6350.8,4305.0,1.695,False,30.77,0.1527,0.2513,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming,, Hair Brush, Fade Brush, Comb, Wood, Plastic, Bristles, Hard, Soft, Beard, Handling, Movement, Foley",344 Audio,
"344 Audio - Barbershop Vol. 2/OBJMisc_Hair Scissor, Snips 4_344 Audio_Barbershop Vol 2.wav","OBJMisc_Hair Scissor, Snips 4_344 Audio_Barbershop Vol 2",344 Audio - Barbershop Vol. 2,wav,2.852,5.16,96000,2,0.0999,-55.24,5951.7,1300.0,0.115,False,57.79,0.3069,0.335,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming,, Metal, Scissors, Snips, Cut, Pick Up, Put Down, Handling",344 Audio,
"344 Audio - Barbershop Vol. 2/OBJMisc_Wahl Sterling Trimmer, On, Idle, Off_344 Audio_Barbershop Vol 2.wav","OBJMisc_Wahl Sterling Trimmer, On, Idle, Off_344 Audio_Barbershop Vol 2",344 Audio - Barbershop Vol. 2,wav,24.676,44.681,96000,2,0.0432,-41.35,2858.8,16555.0,13.445,False,5.04,0.1297,0.2704,"Barbershop, Barber, Hairdresser, Salon, Hair, Grooming,, Razor, Shaver, Trimmer, Clipper, Groomer, Electric, Beard, Handling, Pick Up, Put Down, Switch, Button, On, Idle, Off",344 Audio,
344 Audio - Bass Drops & Downers Vol. 1/DSGNBass_Bass Drop & Downer Fast 16_344 Audio_Bass Drops & Downers.wav,DSGNBass_Bass Drop & Downer Fast 16_344 Audio_Bass Drops & Downers,344 Audio - Bass Drops & Downers Vol. 1,wav,2.374,2.125,192000,2,0.5593,-11.65,89.5,1335.0,0.76,False,2.14,0.9166,0.0002,"Bass, Sub, Subsonic, Low End, Drop, Trailer, Epic, Cineamatic, Rumble, Subwoofer, Downer, Stinger, Analogue, Synth, Movement, Low End",344 Audio,
344 Audio - Bass Drops & Downers Vol. 1/DSGNBass_Bass Drop & Downer Medium 04_344 Audio_Bass Drops & Downers.wav,DSGNBass_Bass Drop & Downer Medium 04_344 Audio_Bass Drops & Downers,344 Audio - Bass Drops & Downers Vol. 1,wav,5.011,4.487,192000,2,0.5861,-15.49,288.0,130.0,3.845,True,3.49,0.7177,0.0003,"Bass, Sub, Subsonic, Low End, Drop, Trailer, Epic, Cineamatic, Rumble, Subwoofer, Downer, Stinger, Analogue, Synth, Movement, Low End",344 Audio,
344 Audio - Bass Drops & Downers Vol. 1/DSGNBass_Bass Drop & Downer Slow 10_344 Audio_Bass Drops & Downers.wav,DSGNBass_Bass Drop & Downer Slow 10_344 Audio_Bass Drops & Downers,344 Audio - Bass Drops & Downers Vol. 1,wav,8.888,7.962,192000,2,0.8213,-11.54,332.4,1860.0,5.03,False,3.1,0.7135,0.0022,"Bass, Sub, Subsonic, Low End, Drop, Trailer, Epic, Cineamatic, Rumble, Subwoofer, Downer, Stinger, Analogue, Synth, Movement, Low End",344 Audio,
344 Audio - Bass Drops & Downers Vol. 2/DSGNBass_Bass Drop & Downer Fast 12_344 Audio_Bass Drops & Downers Vol 2.wav,DSGNBass_Bass Drop & Downer Fast 12_344 Audio_Bass Drops & Downers Vol 2,344 Audio - Bass Drops & Downers Vol. 2,wav,2.946,2.637,192000,2,0.8836,-20.9,350.6,10.0,2.595,True,9.8,0.9903,0.0076,"Bass, Sub, Subsonic, Low End, Drop, Trailer, Epic, Cinematic, Rumble, Subwoofer, Downer, Stinger, Analogue, Synth, Movement",344 Audio,
